27
88 3828
16 49 3
33 73 25
63 82 35
2 70 26
45 88 69
7 70 19
5 66 13
29 82 68
43 70 55
32 68 49
50 83 38
1 86 24
25 44 19
59 68 69
13 85 1
21 40 62
1 40 51
60 88 64
18 88 58
53 74 95
41 59 61
42 72 25
51 64 69
22 88 77
17 80 27
17 20 93
6 14 22
23 68 49
39 62 28
74 83 61
25 35 44
20 83 61
51 52 26
25 30 18
12 26 34
72 79 7
1 68 82
77 86 50
25 82 26
51 59 97
5 40 10
9 29 27
5 30 6
25 84 54
1 12 9
7 20 66
17 72 89
7 51 1
58 63 36
2 28 6
56 79 63
7 11 68
45 87 5
77 85 58
2 44 93
2 82 19
59 85 75
64 76 47
21 74 9
11 63 25
12 19 60
26 60 57
80 86 48
22 28 4
57 75 24
42 79 93
9 15 24
39 85 59
6 51 15
7 62 94
23 48 79
14 62 24
12 73 54
10 69 79
4 66 52
25 43 13
31 76 98
5 46 57
8 28 25
12 15 59
48 80 93
17 74 55
2 7 44
12 32 54
35 72 97
50 82 33
10 29 7
44 68 15
38 44 61
39 43 79
2 84 9
41 86 90
16 35 1
8 76 18
13 77 43
62 76 35
29 71 36
21 23 96
8 22 35
49 60 3
24 30 83
25 57 89
52 54 82
54 63 30
62 73 13
71 75 42
30 74 79
16 25 3
30 58 12
13 17 53
35 61 57
3 72 88
36 59 86
49 82 89
12 20 38
51 68 36
43 68 41
35 49 8
6 63 16
3 79 88
19 72 67
63 76 92
55 86 7
67 72 9
4 37 95
26 67 93
6 18 64
20 72 5
6 73 73
26 72 21
64 78 91
5 41 43
8 47 21
43 50 66
44 83 7
3 59 70
13 74 85
6 75 83
17 19 91
8 36 72
28 29 17
59 71 34
15 74 25
40 51 74
28 60 36
12 82 12
21 41 64
23 80 76
17 21 89
7 13 43
76 86 55
12 44 22
12 80 77
7 78 32
11 73 12
76 82 11
43 72 45
26 53 97
60 71 18
53 77 52
83 88 40
2 47 0
4 73 90
22 87 64
27 49 8
3 24 88
4 34 70
41 49 51
15 31 96
3 75 97
4 28 96
66 82 31
22 37 56
9 27 30
24 74 99
59 77 88
31 44 11
60 86 87
41 46 82
45 74 80
42 87 87
5 42 25
63 77 35
20 71 95
41 66 53
22 34 4
19 50 97
10 42 35
19 42 54
26 70 48
9 44 43
36 40 80
68 74 17
10 12 92
72 83 31
33 39 75
34 47 45
43 74 75
60 85 56
42 54 23
28 49 89
10 78 34
29 51 62
46 76 9
14 39 13
16 24 96
41 47 86
9 80 74
31 70 38
47 73 77
55 59 4
56 60 37
29 62 73
73 74 9
22 32 96
59 76 49
1 70 29
8 42 6
29 73 34
15 16 4
19 38 64
2 18 25
56 80 87
19 70 4
48 84 13
48 61 43
1 44 62
6 46 8
59 82 77
2 62 26
12 71 21
75 83 47
43 57 77
6 21 58
22 38 45
6 66 2
55 73 69
53 88 78
20 82 88
19 41 71
59 88 35
14 58 43
16 43 20
42 67 31
52 87 20
27 44 22
16 28 74
3 86 73
1 56 57
9 85 0
11 14 56
21 29 63
64 72 75
37 76 81
70 80 61
17 37 19
11 72 11
23 57 61
2 26 95
8 27 42
8 20 78
47 57 92
45 70 15
44 70 98
46 59 20
66 76 74
38 76 11
20 34 52
16 73 49
19 27 88
25 26 99
48 85 53
30 50 85
6 62 11
3 28 36
8 40 93
14 28 40
57 64 57
44 54 53
27 36 40
20 68 88
52 72 8
13 30 48
34 45 55
21 48 17
79 83 7
41 48 38
26 45 18
53 71 55
38 73 13
2 53 86
66 80 10
16 56 70
78 86 88
29 30 12
21 59 39
5 70 97
10 35 51
44 57 38
9 75 3
26 64 57
8 72 68
39 74 53
30 60 98
21 66 6
47 67 68
13 67 26
36 80 6
34 39 84
74 88 1
24 60 31
19 45 26
34 84 41
23 66 73
70 75 59
14 64 96
54 78 31
37 45 34
44 65 41
34 40 12
26 56 89
52 68 91
7 79 34
26 48 5
58 85 58
24 67 16
6 28 52
20 65 10
58 76 3
6 54 77
73 82 20
22 43 12
24 40 57
13 62 56
7 22 56
1 59 91
37 73 80
5 6 39
20 69 58
24 83 74
25 42 96
22 46 31
12 22 91
40 48 28
24 63 59
37 77 35
8 11 12
17 60 0
18 71 47
24 72 87
65 66 17
68 79 67
29 84 9
30 78 8
51 54 8
33 52 60
30 75 34
18 85 12
25 72 43
22 68 84
44 86 66
3 21 93
3 60 78
71 80 57
57 67 27
14 21 38
21 54 45
37 67 81
13 16 61
28 51 97
36 42 16
40 46 32
1 29 81
12 39 37
31 35 1
44 71 13
67 82 63
3 44 48
7 59 79
56 63 11
13 71 22
8 70 26
13 37 50
67 85 52
41 52 35
4 54 64
32 84 71
20 61 0
21 83 48
11 60 58
69 85 25
32 82 46
40 84 37
14 60 98
4 83 20
47 71 95
71 83 65
35 80 81
78 88 36
29 58 78
44 53 73
69 70 77
52 75 81
21 24 33
55 57 58
22 73 79
29 70 93
29 48 6
11 39 25
12 75 32
3 80 40
62 64 90
12 34 50
19 84 29
15 78 37
3 54 59
8 35 58
15 53 43
16 46 81
15 86 94
17 83 48
4 19 68
8 12 95
27 29 56
24 43 99
7 60 58
71 76 10
31 77 11
28 57 42
43 48 31
5 71 69
49 77 66
1 81 20
33 70 52
32 70 94
24 29 36
10 54 21
15 69 0
12 21 52
1 14 89
30 48 73
41 54 7
19 69 62
68 84 23
64 80 20
15 40 40
47 64 13
76 80 10
13 36 30
32 53 33
62 85 58
30 65 67
25 51 48
70 83 39
40 49 83
34 56 28
9 69 85
13 38 68
18 72 11
19 71 38
13 61 45
17 64 26
20 25 56
13 33 24
31 68 32
39 81 14
33 46 98
51 57 83
40 52 41
45 65 40
58 82 71
30 44 25
3 64 20
75 77 85
41 73 12
23 52 70
51 80 61
49 53 9
37 53 92
38 63 98
35 56 9
28 42 97
24 45 67
27 83 7
34 35 88
72 76 59
4 84 55
65 67 27
24 66 3
65 69 95
29 69 91
5 78 58
28 46 50
76 79 46
34 41 0
45 48 52
43 84 47
17 52 86
48 76 3
73 80 99
34 54 61
49 84 85
35 50 10
16 53 87
64 68 96
14 32 13
15 20 69
7 55 45
59 83 90
10 77 33
61 68 27
8 30 47
14 73 77
12 61 12
8 52 47
31 59 20
55 81 29
26 42 17
24 32 76
50 51 51
63 64 20
33 55 65
36 57 99
50 74 95
6 79 55
20 76 95
12 83 24
53 67 69
47 85 87
68 76 26
40 61 22
33 88 60
38 79 42
18 66 44
53 61 59
17 34 16
50 79 45
9 30 32
2 57 56
50 69 53
3 32 42
29 52 46
34 78 0
41 77 79
28 84 45
17 67 38
43 59 76
59 64 2
20 38 39
45 47 60
74 78 45
43 76 20
36 68 85
78 85 60
14 76 79
7 27 0
30 51 71
2 73 72
6 88 69
33 58 32
41 64 67
24 88 91
67 86 70
80 85 9
44 58 35
66 70 67
5 84 43
20 32 97
20 48 2
31 80 16
8 29 6
31 50 75
53 68 13
17 68 67
40 53 60
59 81 61
17 29 63
63 83 21
41 75 45
2 35 73
17 81 75
12 31 23
8 71 24
31 49 92
54 62 27
69 78 22
52 77 1
23 55 56
2 30 84
13 52 11
13 21 10
47 75 88
55 68 1
63 88 49
55 75 83
7 35 25
12 25 72
32 34 32
57 70 91
46 61 47
2 80 19
14 77 50
13 54 58
23 31 16
25 37 2
2 14 44
45 73 36
16 37 58
2 51 13
3 39 98
37 56 21
46 71 43
80 83 62
33 44 16
31 52 75
19 74 96
6 9 34
41 80 21
13 26 86
24 77 84
46 50 84
15 57 70
42 80 87
29 64 27
67 75 19
17 33 16
40 72 6
5 74 22
45 77 79
14 15 63
42 73 81
45 79 29
18 30 47
41 42 33
28 50 88
14 56 27
40 47 34
28 58 89
27 37 91
1 78 92
36 46 44
8 26 5
28 76 28
16 78 35
2 31 87
6 12 1
9 45 94
18 22 2
38 80 85
3 16 23
23 35 66
38 55 52
49 65 64
33 77 33
14 52 94
34 42 0
40 62 61
54 88 78
5 47 44
45 53 22
33 40 46
29 63 6
39 69 97
36 61 27
74 87 87
7 85 73
19 43 64
36 86 59
23 65 33
33 37 6
20 46 14
4 87 40
18 77 86
28 44 50
5 32 23
82 88 84
14 48 23
86 88 12
23 82 61
62 63 13
4 25 35
9 21 85
36 83 88
2 24 46
38 62 72
4 27 10
84 85 50
6 20 9
15 47 44
15 71 50
35 87 91
55 74 96
60 78 12
8 66 76
15 61 88
17 53 36
21 70 98
58 84 6
24 75 55
16 48 8
2 78 29
36 85 30
54 73 81
7 29 8
16 88 97
46 51 19
23 40 57
62 66 6
58 81 25
60 83 74
21 32 76
28 86 72
6 24 50
21 71 53
20 62 66
11 33 87
5 51 93
33 57 78
24 56 99
22 40 68
44 48 48
36 65 46
21 26 80
11 29 66
14 80 27
9 22 61
56 81 58
4 69 90
17 51 72
37 70 15
10 23 86
11 26 17
35 73 57
2 52 70
53 66 56
21 49 53
38 52 12
59 86 85
34 48 89
20 44 41
2 17 52
12 74 24
28 85 94
53 64 14
48 83 85
26 51 6
3 69 11
57 73 35
43 69 57
27 46 72
10 60 48
11 49 17
36 43 64
22 25 30
8 62 97
6 31 49
58 80 26
14 23 82
73 75 73
28 67 93
7 87 22
29 37 67
57 71 78
5 33 68
17 69 46
37 42 18
21 35 58
34 51 90
24 47 73
56 83 10
62 77 3
45 63 21
64 83 70
37 54 31
42 83 61
5 77 27
3 70 6
38 71 53
20 21 26
32 47 72
24 79 37
50 80 46
5 21 20
51 53 37
10 73 32
31 61 12
35 75 97
53 55 4
14 79 84
16 81 99
35 53 23
11 16 40
25 73 84
35 57 14
13 43 57
1 55 76
16 62 5
7 54 36
64 74 51
48 58 75
30 39 36
4 42 5
21 36 43
38 85 88
27 68 99
24 25 66
79 88 48
24 81 58
27 69 4
43 80 9
70 77 48
49 56 51
53 56 88
19 37 75
3 74 67
13 27 45
61 80 97
2 10 48
27 54 69
70 73 10
26 77 27
43 78 94
3 55 47
14 51 64
2 34 31
17 50 4
47 83 94
25 32 89
61 62 19
47 77 96
54 65 58
12 45 66
20 73 82
30 33 55
17 88 88
17 57 82
45 54 66
12 30 52
26 41 65
50 67 71
45 66 95
32 74 74
45 67 67
6 36 13
1 88 67
29 35 44
15 41 87
1 47 20
18 84 95
26 39 61
40 74 43
30 81 43
22 47 72
16 82 3
17 23 57
20 36 28
18 42 95
36 67 65
21 73 80
5 76 9
22 49 94
35 71 20
11 37 29
13 46 21
38 83 59
17 66 17
61 65 26
54 85 93
11 77 89
21 69 39
9 33 4
44 69 97
3 15 89
60 73 44
57 76 97
19 58 69
6 72 90
44 62 50
5 11 2
16 52 11
18 51 13
15 44 87
28 40 97
4 67 8
6 13 63
10 83 76
33 45 11
5 44 20
51 85 92
29 45 55
74 81 94
8 64 9
24 80 81
43 82 19
30 63 73
5 81 8
7 16 14
2 21 92
22 78 95
8 45 7
10 88 60
35 55 71
11 69 43
37 57 38
44 75 10
7 42 84
38 59 93
15 42 87
25 80 7
10 14 70
50 81 29
44 88 51
23 49 0
53 78 80
52 74 9
10 24 21
72 78 0
57 60 24
74 76 43
5 20 76
74 79 55
48 54 9
40 41 2
6 40 70
68 88 84
46 63 43
31 54 33
67 83 12
21 53 18
22 55 33
42 88 59
5 72 91
53 59 18
12 78 27
68 77 62
4 20 25
14 55 35
19 67 60
36 44 80
56 58 85
37 52 33
18 31 91
55 69 51
46 53 33
25 31 10
1 8 58
35 36 73
65 87 17
15 36 42
30 85 21
11 67 42
49 70 84
16 61 44
47 78 81
17 55 8
81 83 87
2 79 62
60 67 92
22 57 13
21 44 74
1 60 47
73 76 47
10 51 76
41 53 6
2 20 61
19 56 31
49 81 22
21 27 0
32 48 52
23 24 50
1 52 63
4 72 81
67 87 33
31 42 28
3 31 27
40 77 32
57 77 79
34 85 3
47 50 88
29 53 20
9 68 21
23 58 7
25 40 93
50 65 64
52 67 64
40 87 90
3 71 86
71 72 93
2 85 61
21 65 95
22 36 62
31 40 79
13 81 70
23 45 0
57 81 94
32 72 87
2 32 67
11 43 64
27 82 24
52 60 76
23 88 22
2 42 17
50 57 81
9 70 51
20 33 99
27 71 11
36 53 93
16 21 89
28 70 8
48 53 51
6 57 27
25 85 33
40 65 26
51 58 50
58 62 44
69 76 46
11 27 4
20 52 39
61 75 16
78 81 23
55 77 14
19 82 10
73 86 97
15 62 27
33 78 62
12 53 49
18 49 2
61 83 51
13 58 3
38 84 51
29 36 31
43 83 47
13 55 67
46 65 41
4 64 43
18 48 6
81 82 44
35 70 10
62 79 49
33 53 16
34 61 41
72 85 70
59 65 83
5 17 52
53 83 12
28 81 98
15 54 73
77 84 73
22 24 40
10 37 69
4 43 59
76 77 29
31 60 51
49 61 81
18 62 36
26 28 35
30 46 61
21 63 51
10 44 94
30 86 78
47 69 34
32 79 88
16 18 2
16 71 48
65 81 96
26 31 6
42 69 51
1 21 58
45 86 41
36 56 42
66 71 34
22 31 21
60 75 83
19 73 78
21 55 25
7 81 82
2 6 7
51 63 21
25 39 33
33 66 69
36 54 83
28 74 92
46 73 91
43 86 99
79 85 42
12 17 94
49 59 33
71 87 53
4 56 44
62 72 24
24 38 92
69 80 75
2 5 98
29 65 72
5 64 21
17 24 8
21 56 84
13 29 41
55 71 40
30 83 13
11 86 38
54 59 27
9 57 65
31 33 63
44 80 82
23 79 95
32 41 19
30 31 49
45 57 91
37 78 39
34 86 49
4 35 30
49 62 60
31 64 51
45 52 94
72 80 19
4 39 69
58 72 55
63 65 79
37 87 30
9 71 65
15 51 95
69 72 95
32 55 60
11 18 77
18 76 14
49 68 3
19 40 35
37 60 80
35 84 92
10 13 6
35 46 20
9 51 59
38 68 46
52 83 93
14 87 9
16 36 88
4 55 66
32 78 25
8 78 90
21 82 47
10 57 32
2 25 18
40 59 15
44 52 35
61 66 48
20 57 3
30 34 52
36 79 30
20 63 13
6 15 55
40 83 27
26 57 3
18 61 19
56 70 36
36 82 38
6 25 53
9 86 86
37 79 46
12 76 84
3 25 25
29 88 70
17 86 99
55 61 10
41 43 58
15 66 56
9 46 35
30 84 23
28 53 95
32 58 74
72 81 60
77 88 47
4 24 71
76 85 29
57 87 61
10 30 24
19 79 48
10 75 70
62 82 27
62 71 69
1 19 64
64 87 72
24 46 28
5 23 15
24 34 73
32 45 72
43 54 48
19 23 96
24 73 42
32 51 27
20 22 65
42 74 40
47 48 19
17 75 63
8 81 11
16 74 23
16 19 78
11 56 75
41 60 96
59 60 67
56 67 15
49 75 23
10 84 6
11 42 36
47 79 48
38 47 37
7 25 8
13 83 52
24 64 55
37 66 2
46 81 52
52 55 58
10 66 36
53 65 45
22 41 31
65 76 72
36 70 98
68 78 71
17 38 33
28 35 41
1 62 17
50 64 32
45 60 44
18 43 9
27 41 24
17 27 70
82 85 48
28 59 99
11 51 41
22 71 75
61 78 17
25 75 15
9 37 57
48 57 54
41 68 32
34 77 75
29 66 0
26 52 83
27 52 44
71 79 26
23 53 77
66 67 93
10 31 29
42 57 42
1 80 80
11 21 35
34 46 67
8 87 86
9 11 99
71 85 67
47 70 4
5 73 2
5 13 86
48 82 44
10 19 6
12 36 23
21 42 29
15 17 58
50 72 15
21 62 57
14 50 23
4 30 69
29 79 96
9 43 65
40 88 94
54 82 34
45 81 29
38 82 97
51 71 95
14 54 69
38 78 7
41 87 25
63 78 3
7 64 47
4 41 17
15 30 55
15 75 96
8 59 3
4 12 16
45 59 42
7 48 1
13 66 14
9 65 36
15 25 86
27 31 30
49 58 84
13 79 25
7 57 1
75 80 53
19 80 1
39 76 66
61 86 83
9 17 61
14 26 80
19 63 68
46 77 89
27 53 30
69 82 68
6 87 27
38 77 67
27 78 14
6 47 18
41 84 93
14 57 97
17 43 51
6 56 78
13 47 37
26 80 89
3 4 7
3 87 76
62 70 36
11 54 44
77 87 8
14 43 81
38 65 47
22 45 5
1 79 31
8 80 66
3 50 6
37 82 47
33 49 83
10 18 4
12 46 32
4 45 89
63 67 92
85 86 62
3 29 50
54 76 18
61 84 6
30 67 98
18 53 70
9 82 47
47 88 85
20 60 92
23 76 60
15 39 8
42 43 99
29 34 25
28 83 7
18 36 26
13 31 67
7 56 36
44 76 4
12 62 89
1 38 27
15 26 47
9 12 4
7 82 43
21 28 51
27 42 80
37 69 41
44 64 83
61 73 98
28 79 35
64 88 16
37 51 60
4 85 85
23 41 36
56 66 95
18 73 49
34 50 43
11 41 13
4 82 88
7 69 74
23 29 94
34 57 7
31 56 4
13 53 66
28 77 9
14 44 96
47 58 74
18 60 16
6 30 28
3 52 22
45 62 65
27 62 3
35 81 35
63 69 40
6 38 38
63 87 97
33 56 19
16 85 17
12 86 0
55 58 14
32 85 29
30 43 16
61 70 95
67 76 10
8 46 12
22 54 35
59 62 83
46 72 25
27 85 62
49 69 80
10 53 99
60 74 60
10 70 35
17 48 93
44 66 49
67 73 75
37 44 24
47 60 59
7 53 26
39 71 6
41 71 27
15 76 27
13 44 48
9 76 28
16 27 26
2 19 0
19 55 93
30 32 87
24 87 30
17 28 25
55 62 81
11 23 43
2 66 41
11 80 90
40 68 94
18 26 71
60 68 31
2 49 39
49 54 6
26 44 58
22 85 65
15 80 21
21 47 24
46 69 2
52 56 27
43 47 32
46 88 95
39 72 68
3 35 64
63 84 20
27 66 52
56 78 14
12 29 14
10 50 31
6 49 24
82 84 45
31 32 22
56 62 75
2 86 55
13 48 36
3 57 33
11 30 18
70 72 26
10 28 29
27 38 10
4 9 33
4 59 29
41 44 79
7 44 23
5 22 21
5 57 6
52 73 79
34 70 45
50 59 31
30 71 38
50 71 77
20 26 52
36 51 55
1 20 56
22 50 6
27 48 68
71 78 0
20 80 49
18 46 10
16 59 9
10 33 94
47 63 76
27 34 22
3 83 38
51 78 92
14 86 49
55 72 29
17 39 57
1 63 97
2 64 16
32 67 13
3 27 40
34 72 81
10 46 12
24 37 28
9 13 72
59 78 15
17 36 44
36 74 16
18 78 69
65 75 42
33 54 53
8 15 8
25 58 51
62 69 4
5 8 28
30 69 12
13 69 35
28
